class(r3,Y)	+class(r3,person)	+class(r3,student)	-class(r3,course)	-class(r3,department)	-class(r3,faculty)	-class(r3,researchproject)	-class(r3,staff)
class(r187,Y)	+class(r187,person)	+class(r187,student)	-class(r187,course)	-class(r187,department)	-class(r187,faculty)	-class(r187,researchproject)	-class(r187,staff)
class(r188,Y)	+class(r188,person)	+class(r188,student)	-class(r188,course)	-class(r188,department)	-class(r188,faculty)	-class(r188,researchproject)	-class(r188,staff)
class(r189,Y)	+class(r189,person)	+class(r189,student)	-class(r189,course)	-class(r189,department)	-class(r189,faculty)	-class(r189,researchproject)	-class(r189,staff)
class(r190,Y)	+class(r190,person)	+class(r190,staff)	-class(r190,course)	-class(r190,department)	-class(r190,faculty)	-class(r190,researchproject)	-class(r190,student)
class(r191,Y)	+class(r191,course)	-class(r191,department)	-class(r191,faculty)	-class(r191,person)	-class(r191,researchproject)	-class(r191,staff)	-class(r191,student)
class(r192,Y)	+class(r192,faculty)	+class(r192,person)	-class(r192,course)	-class(r192,department)	-class(r192,researchproject)	-class(r192,staff)	-class(r192,student)
class(r193,Y)	+class(r193,person)	+class(r193,student)	-class(r193,course)	-class(r193,department)	-class(r193,faculty)	-class(r193,researchproject)	-class(r193,staff)
class(r194,Y)	+class(r194,person)	+class(r194,student)	-class(r194,course)	-class(r194,department)	-class(r194,faculty)	-class(r194,researchproject)	-class(r194,staff)
class(r195,Y)	+class(r195,person)	+class(r195,student)	-class(r195,course)	-class(r195,department)	-class(r195,faculty)	-class(r195,researchproject)	-class(r195,staff)
class(r196,Y)	+class(r196,person)	+class(r196,student)	-class(r196,course)	-class(r196,department)	-class(r196,faculty)	-class(r196,researchproject)	-class(r196,staff)
class(r197,Y)	+class(r197,person)	+class(r197,student)	-class(r197,course)	-class(r197,department)	-class(r197,faculty)	-class(r197,researchproject)	-class(r197,staff)
class(r198,Y)	+class(r198,person)	+class(r198,student)	-class(r198,course)	-class(r198,department)	-class(r198,faculty)	-class(r198,researchproject)	-class(r198,staff)
class(r199,Y)	+class(r199,person)	+class(r199,staff)	-class(r199,course)	-class(r199,department)	-class(r199,faculty)	-class(r199,researchproject)	-class(r199,student)
class(r200,Y)	+class(r200,researchproject)	-class(r200,course)	-class(r200,department)	-class(r200,faculty)	-class(r200,person)	-class(r200,staff)	-class(r200,student)
class(r201,Y)	+class(r201,course)	-class(r201,department)	-class(r201,faculty)	-class(r201,person)	-class(r201,researchproject)	-class(r201,staff)	-class(r201,student)
class(r202,Y)	+class(r202,person)	+class(r202,student)	-class(r202,course)	-class(r202,department)	-class(r202,faculty)	-class(r202,researchproject)	-class(r202,staff)
class(r203,Y)	+class(r203,person)	+class(r203,student)	-class(r203,course)	-class(r203,department)	-class(r203,faculty)	-class(r203,researchproject)	-class(r203,staff)
class(r204,Y)	+class(r204,person)	+class(r204,student)	-class(r204,course)	-class(r204,department)	-class(r204,faculty)	-class(r204,researchproject)	-class(r204,staff)
class(r205,Y)	+class(r205,department)	-class(r205,course)	-class(r205,faculty)	-class(r205,person)	-class(r205,researchproject)	-class(r205,staff)	-class(r205,student)
class(r206,Y)	+class(r206,person)	+class(r206,student)	-class(r206,course)	-class(r206,department)	-class(r206,faculty)	-class(r206,researchproject)	-class(r206,staff)
class(r207,Y)	+class(r207,person)	+class(r207,student)	-class(r207,course)	-class(r207,department)	-class(r207,faculty)	-class(r207,researchproject)	-class(r207,staff)
class(r208,Y)	+class(r208,course)	-class(r208,department)	-class(r208,faculty)	-class(r208,person)	-class(r208,researchproject)	-class(r208,staff)	-class(r208,student)
class(r209,Y)	+class(r209,person)	+class(r209,student)	-class(r209,course)	-class(r209,department)	-class(r209,faculty)	-class(r209,researchproject)	-class(r209,staff)
class(r210,Y)	+class(r210,faculty)	+class(r210,person)	-class(r210,course)	-class(r210,department)	-class(r210,researchproject)	-class(r210,staff)	-class(r210,student)
class(r211,Y)	+class(r211,researchproject)	-class(r211,course)	-class(r211,department)	-class(r211,faculty)	-class(r211,person)	-class(r211,staff)	-class(r211,student)
class(r212,Y)	+class(r212,person)	+class(r212,student)	-class(r212,course)	-class(r212,department)	-class(r212,faculty)	-class(r212,researchproject)	-class(r212,staff)
class(r213,Y)	+class(r213,researchproject)	-class(r213,course)	-class(r213,department)	-class(r213,faculty)	-class(r213,person)	-class(r213,staff)	-class(r213,student)
class(r214,Y)	+class(r214,person)	+class(r214,student)	-class(r214,course)	-class(r214,department)	-class(r214,faculty)	-class(r214,researchproject)	-class(r214,staff)
class(r215,Y)	+class(r215,faculty)	+class(r215,person)	-class(r215,course)	-class(r215,department)	-class(r215,researchproject)	-class(r215,staff)	-class(r215,student)
class(r216,Y)	+class(r216,person)	+class(r216,staff)	-class(r216,course)	-class(r216,department)	-class(r216,faculty)	-class(r216,researchproject)	-class(r216,student)
class(r217,Y)	+class(r217,person)	+class(r217,student)	-class(r217,course)	-class(r217,department)	-class(r217,faculty)	-class(r217,researchproject)	-class(r217,staff)
class(r218,Y)	+class(r218,faculty)	+class(r218,person)	-class(r218,course)	-class(r218,department)	-class(r218,researchproject)	-class(r218,staff)	-class(r218,student)
class(r219,Y)	+class(r219,person)	+class(r219,staff)	-class(r219,course)	-class(r219,department)	-class(r219,faculty)	-class(r219,researchproject)	-class(r219,student)
class(r220,Y)	+class(r220,person)	+class(r220,staff)	-class(r220,course)	-class(r220,department)	-class(r220,faculty)	-class(r220,researchproject)	-class(r220,student)
class(r221,Y)	+class(r221,person)	+class(r221,staff)	-class(r221,course)	-class(r221,department)	-class(r221,faculty)	-class(r221,researchproject)	-class(r221,student)
class(r222,Y)	+class(r222,person)	+class(r222,student)	-class(r222,course)	-class(r222,department)	-class(r222,faculty)	-class(r222,researchproject)	-class(r222,staff)
class(r223,Y)	+class(r223,faculty)	+class(r223,person)	-class(r223,course)	-class(r223,department)	-class(r223,researchproject)	-class(r223,staff)	-class(r223,student)
class(r224,Y)	+class(r224,faculty)	+class(r224,person)	-class(r224,course)	-class(r224,department)	-class(r224,researchproject)	-class(r224,staff)	-class(r224,student)
class(r225,Y)	+class(r225,person)	+class(r225,student)	-class(r225,course)	-class(r225,department)	-class(r225,faculty)	-class(r225,researchproject)	-class(r225,staff)
class(r226,Y)	+class(r226,person)	+class(r226,student)	-class(r226,course)	-class(r226,department)	-class(r226,faculty)	-class(r226,researchproject)	-class(r226,staff)
class(r227,Y)	+class(r227,person)	+class(r227,student)	-class(r227,course)	-class(r227,department)	-class(r227,faculty)	-class(r227,researchproject)	-class(r227,staff)
class(r228,Y)	+class(r228,person)	+class(r228,student)	-class(r228,course)	-class(r228,department)	-class(r228,faculty)	-class(r228,researchproject)	-class(r228,staff)
class(r229,Y)	+class(r229,person)	+class(r229,student)	-class(r229,course)	-class(r229,department)	-class(r229,faculty)	-class(r229,researchproject)	-class(r229,staff)
class(r230,Y)	+class(r230,faculty)	+class(r230,person)	-class(r230,course)	-class(r230,department)	-class(r230,researchproject)	-class(r230,staff)	-class(r230,student)
class(r231,Y)	+class(r231,person)	+class(r231,student)	-class(r231,course)	-class(r231,department)	-class(r231,faculty)	-class(r231,researchproject)	-class(r231,staff)
class(r232,Y)	+class(r232,person)	+class(r232,student)	-class(r232,course)	-class(r232,department)	-class(r232,faculty)	-class(r232,researchproject)	-class(r232,staff)
class(r233,Y)	+class(r233,person)	+class(r233,student)	-class(r233,course)	-class(r233,department)	-class(r233,faculty)	-class(r233,researchproject)	-class(r233,staff)
class(r234,Y)	+class(r234,person)	+class(r234,student)	-class(r234,course)	-class(r234,department)	-class(r234,faculty)	-class(r234,researchproject)	-class(r234,staff)
class(r235,Y)	+class(r235,person)	+class(r235,student)	-class(r235,course)	-class(r235,department)	-class(r235,faculty)	-class(r235,researchproject)	-class(r235,staff)
class(r236,Y)	+class(r236,person)	+class(r236,student)	-class(r236,course)	-class(r236,department)	-class(r236,faculty)	-class(r236,researchproject)	-class(r236,staff)
class(r237,Y)	+class(r237,department)	-class(r237,course)	-class(r237,faculty)	-class(r237,person)	-class(r237,researchproject)	-class(r237,staff)	-class(r237,student)
class(r238,Y)	+class(r238,person)	+class(r238,student)	-class(r238,course)	-class(r238,department)	-class(r238,faculty)	-class(r238,researchproject)	-class(r238,staff)
class(r239,Y)	+class(r239,person)	+class(r239,student)	-class(r239,course)	-class(r239,department)	-class(r239,faculty)	-class(r239,researchproject)	-class(r239,staff)
class(r240,Y)	+class(r240,person)	+class(r240,student)	-class(r240,course)	-class(r240,department)	-class(r240,faculty)	-class(r240,researchproject)	-class(r240,staff)
class(r241,Y)	+class(r241,person)	+class(r241,student)	-class(r241,course)	-class(r241,department)	-class(r241,faculty)	-class(r241,researchproject)	-class(r241,staff)
class(r242,Y)	+class(r242,person)	+class(r242,student)	-class(r242,course)	-class(r242,department)	-class(r242,faculty)	-class(r242,researchproject)	-class(r242,staff)
class(r243,Y)	+class(r243,person)	+class(r243,student)	-class(r243,course)	-class(r243,department)	-class(r243,faculty)	-class(r243,researchproject)	-class(r243,staff)
class(r244,Y)	+class(r244,department)	+class(r244,person)	+class(r244,student)	-class(r244,course)	-class(r244,faculty)	-class(r244,researchproject)	-class(r244,staff)
class(r245,Y)	+class(r245,person)	+class(r245,student)	-class(r245,course)	-class(r245,department)	-class(r245,faculty)	-class(r245,researchproject)	-class(r245,staff)
class(r246,Y)	+class(r246,department)	-class(r246,course)	-class(r246,faculty)	-class(r246,person)	-class(r246,researchproject)	-class(r246,staff)	-class(r246,student)
class(r247,Y)	+class(r247,course)	-class(r247,department)	-class(r247,faculty)	-class(r247,person)	-class(r247,researchproject)	-class(r247,staff)	-class(r247,student)
class(r248,Y)	+class(r248,researchproject)	-class(r248,course)	-class(r248,department)	-class(r248,faculty)	-class(r248,person)	-class(r248,staff)	-class(r248,student)
class(r249,Y)	+class(r249,faculty)	+class(r249,person)	-class(r249,course)	-class(r249,department)	-class(r249,researchproject)	-class(r249,staff)	-class(r249,student)
class(r250,Y)	+class(r250,person)	+class(r250,student)	-class(r250,course)	-class(r250,department)	-class(r250,faculty)	-class(r250,researchproject)	-class(r250,staff)
class(r251,Y)	+class(r251,faculty)	+class(r251,person)	-class(r251,course)	-class(r251,department)	-class(r251,researchproject)	-class(r251,staff)	-class(r251,student)
class(r252,Y)	+class(r252,faculty)	+class(r252,person)	-class(r252,course)	-class(r252,department)	-class(r252,researchproject)	-class(r252,staff)	-class(r252,student)
class(r253,Y)	+class(r253,person)	+class(r253,student)	-class(r253,course)	-class(r253,department)	-class(r253,faculty)	-class(r253,researchproject)	-class(r253,staff)
class(r254,Y)	+class(r254,researchproject)	-class(r254,course)	-class(r254,department)	-class(r254,faculty)	-class(r254,person)	-class(r254,staff)	-class(r254,student)
class(r255,Y)	+class(r255,faculty)	+class(r255,person)	-class(r255,course)	-class(r255,department)	-class(r255,researchproject)	-class(r255,staff)	-class(r255,student)
class(r256,Y)	+class(r256,person)	+class(r256,student)	-class(r256,course)	-class(r256,department)	-class(r256,faculty)	-class(r256,researchproject)	-class(r256,staff)
class(r257,Y)	+class(r257,person)	+class(r257,student)	-class(r257,course)	-class(r257,department)	-class(r257,faculty)	-class(r257,researchproject)	-class(r257,staff)
class(r258,Y)	+class(r258,person)	+class(r258,student)	-class(r258,course)	-class(r258,department)	-class(r258,faculty)	-class(r258,researchproject)	-class(r258,staff)
class(r259,Y)	+class(r259,person)	+class(r259,student)	-class(r259,course)	-class(r259,department)	-class(r259,faculty)	-class(r259,researchproject)	-class(r259,staff)
class(r260,Y)	+class(r260,person)	+class(r260,student)	-class(r260,course)	-class(r260,department)	-class(r260,faculty)	-class(r260,researchproject)	-class(r260,staff)
class(r261,Y)	+class(r261,person)	+class(r261,student)	-class(r261,course)	-class(r261,department)	-class(r261,faculty)	-class(r261,researchproject)	-class(r261,staff)
class(r262,Y)	+class(r262,person)	+class(r262,student)	-class(r262,course)	-class(r262,department)	-class(r262,faculty)	-class(r262,researchproject)	-class(r262,staff)
class(r263,Y)	+class(r263,person)	+class(r263,student)	-class(r263,course)	-class(r263,department)	-class(r263,faculty)	-class(r263,researchproject)	-class(r263,staff)
class(r264,Y)	+class(r264,person)	+class(r264,student)	-class(r264,course)	-class(r264,department)	-class(r264,faculty)	-class(r264,researchproject)	-class(r264,staff)
class(r265,Y)	+class(r265,person)	+class(r265,student)	-class(r265,course)	-class(r265,department)	-class(r265,faculty)	-class(r265,researchproject)	-class(r265,staff)
class(r266,Y)	+class(r266,person)	+class(r266,student)	-class(r266,course)	-class(r266,department)	-class(r266,faculty)	-class(r266,researchproject)	-class(r266,staff)
class(r267,Y)	+class(r267,person)	+class(r267,student)	-class(r267,course)	-class(r267,department)	-class(r267,faculty)	-class(r267,researchproject)	-class(r267,staff)
class(r268,Y)	+class(r268,researchproject)	-class(r268,course)	-class(r268,department)	-class(r268,faculty)	-class(r268,person)	-class(r268,staff)	-class(r268,student)
class(r269,Y)	+class(r269,person)	+class(r269,staff)	-class(r269,course)	-class(r269,department)	-class(r269,faculty)	-class(r269,researchproject)	-class(r269,student)
class(r270,Y)	+class(r270,person)	+class(r270,student)	-class(r270,course)	-class(r270,department)	-class(r270,faculty)	-class(r270,researchproject)	-class(r270,staff)
class(r271,Y)	+class(r271,person)	+class(r271,student)	-class(r271,course)	-class(r271,department)	-class(r271,faculty)	-class(r271,researchproject)	-class(r271,staff)
class(r272,Y)	+class(r272,person)	+class(r272,student)	-class(r272,course)	-class(r272,department)	-class(r272,faculty)	-class(r272,researchproject)	-class(r272,staff)
class(r273,Y)	+class(r273,person)	+class(r273,student)	-class(r273,course)	-class(r273,department)	-class(r273,faculty)	-class(r273,researchproject)	-class(r273,staff)
class(r274,Y)	+class(r274,researchproject)	-class(r274,course)	-class(r274,department)	-class(r274,faculty)	-class(r274,person)	-class(r274,staff)	-class(r274,student)
class(r275,Y)	+class(r275,researchproject)	-class(r275,course)	-class(r275,department)	-class(r275,faculty)	-class(r275,person)	-class(r275,staff)	-class(r275,student)
class(r276,Y)	+class(r276,researchproject)	-class(r276,course)	-class(r276,department)	-class(r276,faculty)	-class(r276,person)	-class(r276,staff)	-class(r276,student)
class(r277,Y)	+class(r277,researchproject)	-class(r277,course)	-class(r277,department)	-class(r277,faculty)	-class(r277,person)	-class(r277,staff)	-class(r277,student)
class(r278,Y)	+class(r278,researchproject)	-class(r278,course)	-class(r278,department)	-class(r278,faculty)	-class(r278,person)	-class(r278,staff)	-class(r278,student)
class(r279,Y)	+class(r279,course)	-class(r279,department)	-class(r279,faculty)	-class(r279,person)	-class(r279,researchproject)	-class(r279,staff)	-class(r279,student)
class(r280,Y)	+class(r280,researchproject)	-class(r280,course)	-class(r280,department)	-class(r280,faculty)	-class(r280,person)	-class(r280,staff)	-class(r280,student)
class(r281,Y)	+class(r281,researchproject)	-class(r281,course)	-class(r281,department)	-class(r281,faculty)	-class(r281,person)	-class(r281,staff)	-class(r281,student)
class(r282,Y)	+class(r282,researchproject)	-class(r282,course)	-class(r282,department)	-class(r282,faculty)	-class(r282,person)	-class(r282,staff)	-class(r282,student)
class(r283,Y)	+class(r283,researchproject)	-class(r283,course)	-class(r283,department)	-class(r283,faculty)	-class(r283,person)	-class(r283,staff)	-class(r283,student)
class(r284,Y)	+class(r284,researchproject)	-class(r284,course)	-class(r284,department)	-class(r284,faculty)	-class(r284,person)	-class(r284,staff)	-class(r284,student)
class(r285,Y)	+class(r285,department)	-class(r285,course)	-class(r285,faculty)	-class(r285,person)	-class(r285,researchproject)	-class(r285,staff)	-class(r285,student)
class(r286,Y)	+class(r286,researchproject)	-class(r286,course)	-class(r286,department)	-class(r286,faculty)	-class(r286,person)	-class(r286,staff)	-class(r286,student)
class(r287,Y)	+class(r287,department)	-class(r287,course)	-class(r287,faculty)	-class(r287,person)	-class(r287,researchproject)	-class(r287,staff)	-class(r287,student)
class(r288,Y)	+class(r288,department)	-class(r288,course)	-class(r288,faculty)	-class(r288,person)	-class(r288,researchproject)	-class(r288,staff)	-class(r288,student)
class(r289,Y)	+class(r289,person)	+class(r289,student)	-class(r289,course)	-class(r289,department)	-class(r289,faculty)	-class(r289,researchproject)	-class(r289,staff)
class(r290,Y)	+class(r290,person)	+class(r290,student)	-class(r290,course)	-class(r290,department)	-class(r290,faculty)	-class(r290,researchproject)	-class(r290,staff)
class(r291,Y)	+class(r291,researchproject)	-class(r291,course)	-class(r291,department)	-class(r291,faculty)	-class(r291,person)	-class(r291,staff)	-class(r291,student)
class(r292,Y)	+class(r292,person)	+class(r292,student)	-class(r292,course)	-class(r292,department)	-class(r292,faculty)	-class(r292,researchproject)	-class(r292,staff)
class(r293,Y)	+class(r293,faculty)	+class(r293,person)	-class(r293,course)	-class(r293,department)	-class(r293,researchproject)	-class(r293,staff)	-class(r293,student)
class(r294,Y)	+class(r294,person)	+class(r294,student)	-class(r294,course)	-class(r294,department)	-class(r294,faculty)	-class(r294,researchproject)	-class(r294,staff)
class(r295,Y)	+class(r295,person)	+class(r295,student)	-class(r295,course)	-class(r295,department)	-class(r295,faculty)	-class(r295,researchproject)	-class(r295,staff)
class(r296,Y)	+class(r296,person)	+class(r296,student)	-class(r296,course)	-class(r296,department)	-class(r296,faculty)	-class(r296,researchproject)	-class(r296,staff)
class(r297,Y)	+class(r297,person)	+class(r297,student)	-class(r297,course)	-class(r297,department)	-class(r297,faculty)	-class(r297,researchproject)	-class(r297,staff)
class(r298,Y)	+class(r298,person)	+class(r298,student)	-class(r298,course)	-class(r298,department)	-class(r298,faculty)	-class(r298,researchproject)	-class(r298,staff)
class(r299,Y)	+class(r299,person)	+class(r299,student)	-class(r299,course)	-class(r299,department)	-class(r299,faculty)	-class(r299,researchproject)	-class(r299,staff)
class(r300,Y)	+class(r300,person)	+class(r300,student)	-class(r300,course)	-class(r300,department)	-class(r300,faculty)	-class(r300,researchproject)	-class(r300,staff)
class(r302,Y)	+class(r302,course)	-class(r302,department)	-class(r302,faculty)	-class(r302,person)	-class(r302,researchproject)	-class(r302,staff)	-class(r302,student)
class(r301,Y)	+class(r301,faculty)	+class(r301,person)	-class(r301,course)	-class(r301,department)	-class(r301,researchproject)	-class(r301,staff)	-class(r301,student)
class(r303,Y)	+class(r303,faculty)	+class(r303,person)	-class(r303,course)	-class(r303,department)	-class(r303,researchproject)	-class(r303,staff)	-class(r303,student)
class(r304,Y)	+class(r304,researchproject)	-class(r304,course)	-class(r304,department)	-class(r304,faculty)	-class(r304,person)	-class(r304,staff)	-class(r304,student)
class(r305,Y)	+class(r305,person)	+class(r305,student)	-class(r305,course)	-class(r305,department)	-class(r305,faculty)	-class(r305,researchproject)	-class(r305,staff)
class(r306,Y)	+class(r306,person)	+class(r306,student)	-class(r306,course)	-class(r306,department)	-class(r306,faculty)	-class(r306,researchproject)	-class(r306,staff)
class(r307,Y)	+class(r307,person)	+class(r307,student)	-class(r307,course)	-class(r307,department)	-class(r307,faculty)	-class(r307,researchproject)	-class(r307,staff)
class(r308,Y)	+class(r308,person)	+class(r308,student)	-class(r308,course)	-class(r308,department)	-class(r308,faculty)	-class(r308,researchproject)	-class(r308,staff)
class(r309,Y)	+class(r309,person)	+class(r309,student)	-class(r309,course)	-class(r309,department)	-class(r309,faculty)	-class(r309,researchproject)	-class(r309,staff)
class(r310,Y)	+class(r310,person)	+class(r310,student)	-class(r310,course)	-class(r310,department)	-class(r310,faculty)	-class(r310,researchproject)	-class(r310,staff)
class(r311,Y)	+class(r311,person)	+class(r311,student)	-class(r311,course)	-class(r311,department)	-class(r311,faculty)	-class(r311,researchproject)	-class(r311,staff)
class(r312,Y)	+class(r312,researchproject)	-class(r312,course)	-class(r312,department)	-class(r312,faculty)	-class(r312,person)	-class(r312,staff)	-class(r312,student)
class(r313,Y)	+class(r313,person)	+class(r313,student)	-class(r313,course)	-class(r313,department)	-class(r313,faculty)	-class(r313,researchproject)	-class(r313,staff)
class(r314,Y)	+class(r314,person)	+class(r314,student)	-class(r314,course)	-class(r314,department)	-class(r314,faculty)	-class(r314,researchproject)	-class(r314,staff)
class(r315,Y)	+class(r315,person)	+class(r315,student)	-class(r315,course)	-class(r315,department)	-class(r315,faculty)	-class(r315,researchproject)	-class(r315,staff)
class(r316,Y)	+class(r316,person)	+class(r316,student)	-class(r316,course)	-class(r316,department)	-class(r316,faculty)	-class(r316,researchproject)	-class(r316,staff)
class(r317,Y)	+class(r317,person)	+class(r317,student)	-class(r317,course)	-class(r317,department)	-class(r317,faculty)	-class(r317,researchproject)	-class(r317,staff)
class(r318,Y)	+class(r318,researchproject)	-class(r318,course)	-class(r318,department)	-class(r318,faculty)	-class(r318,person)	-class(r318,staff)	-class(r318,student)
class(r319,Y)	+class(r319,person)	+class(r319,student)	-class(r319,course)	-class(r319,department)	-class(r319,faculty)	-class(r319,researchproject)	-class(r319,staff)
class(r320,Y)	+class(r320,person)	-class(r320,course)	-class(r320,department)	-class(r320,faculty)	-class(r320,researchproject)	-class(r320,staff)	-class(r320,student)
class(r321,Y)	+class(r321,researchproject)	-class(r321,course)	-class(r321,department)	-class(r321,faculty)	-class(r321,person)	-class(r321,staff)	-class(r321,student)
class(r320,Y)	+class(r320,student)	-class(r320,course)	-class(r320,department)	-class(r320,faculty)	-class(r320,person)	-class(r320,researchproject)	-class(r320,staff)
class(r322,Y)	+class(r322,person)	+class(r322,student)	-class(r322,course)	-class(r322,department)	-class(r322,faculty)	-class(r322,researchproject)	-class(r322,staff)
class(r323,Y)	+class(r323,person)	+class(r323,student)	-class(r323,course)	-class(r323,department)	-class(r323,faculty)	-class(r323,researchproject)	-class(r323,staff)
class(r325,Y)	+class(r325,course)	-class(r325,department)	-class(r325,faculty)	-class(r325,person)	-class(r325,researchproject)	-class(r325,staff)	-class(r325,student)
class(r326,Y)	+class(r326,course)	-class(r326,department)	-class(r326,faculty)	-class(r326,person)	-class(r326,researchproject)	-class(r326,staff)	-class(r326,student)
class(r324,Y)	+class(r324,faculty)	+class(r324,person)	-class(r324,course)	-class(r324,department)	-class(r324,researchproject)	-class(r324,staff)	-class(r324,student)
class(r327,Y)	+class(r327,person)	+class(r327,student)	-class(r327,course)	-class(r327,department)	-class(r327,faculty)	-class(r327,researchproject)	-class(r327,staff)
class(r328,Y)	+class(r328,person)	+class(r328,student)	-class(r328,course)	-class(r328,department)	-class(r328,faculty)	-class(r328,researchproject)	-class(r328,staff)
class(r329,Y)	+class(r329,person)	+class(r329,student)	-class(r329,course)	-class(r329,department)	-class(r329,faculty)	-class(r329,researchproject)	-class(r329,staff)
class(r330,Y)	+class(r330,person)	+class(r330,student)	-class(r330,course)	-class(r330,department)	-class(r330,faculty)	-class(r330,researchproject)	-class(r330,staff)
class(r331,Y)	+class(r331,person)	+class(r331,student)	-class(r331,course)	-class(r331,department)	-class(r331,faculty)	-class(r331,researchproject)	-class(r331,staff)
class(r332,Y)	+class(r332,person)	+class(r332,student)	-class(r332,course)	-class(r332,department)	-class(r332,faculty)	-class(r332,researchproject)	-class(r332,staff)
class(r333,Y)	+class(r333,faculty)	+class(r333,person)	-class(r333,course)	-class(r333,department)	-class(r333,researchproject)	-class(r333,staff)	-class(r333,student)
class(r334,Y)	+class(r334,researchproject)	-class(r334,course)	-class(r334,department)	-class(r334,faculty)	-class(r334,person)	-class(r334,staff)	-class(r334,student)
class(r335,Y)	+class(r335,course)	-class(r335,department)	-class(r335,faculty)	-class(r335,person)	-class(r335,researchproject)	-class(r335,staff)	-class(r335,student)
class(r336,Y)	+class(r336,faculty)	+class(r336,person)	-class(r336,course)	-class(r336,department)	-class(r336,researchproject)	-class(r336,staff)	-class(r336,student)
class(r338,Y)	+class(r338,course)	-class(r338,department)	-class(r338,faculty)	-class(r338,person)	-class(r338,researchproject)	-class(r338,staff)	-class(r338,student)
class(r337,Y)	+class(r337,person)	+class(r337,student)	-class(r337,course)	-class(r337,department)	-class(r337,faculty)	-class(r337,researchproject)	-class(r337,staff)
class(r339,Y)	+class(r339,person)	+class(r339,student)	-class(r339,course)	-class(r339,department)	-class(r339,faculty)	-class(r339,researchproject)	-class(r339,staff)
class(r340,Y)	+class(r340,person)	+class(r340,student)	-class(r340,course)	-class(r340,department)	-class(r340,faculty)	-class(r340,researchproject)	-class(r340,staff)
class(r341,Y)	+class(r341,faculty)	+class(r341,person)	-class(r341,course)	-class(r341,department)	-class(r341,researchproject)	-class(r341,staff)	-class(r341,student)
class(r342,Y)	+class(r342,person)	+class(r342,student)	-class(r342,course)	-class(r342,department)	-class(r342,faculty)	-class(r342,researchproject)	-class(r342,staff)
class(r343,Y)	+class(r343,person)	+class(r343,student)	-class(r343,course)	-class(r343,department)	-class(r343,faculty)	-class(r343,researchproject)	-class(r343,staff)
class(r344,Y)	+class(r344,person)	+class(r344,student)	-class(r344,course)	-class(r344,department)	-class(r344,faculty)	-class(r344,researchproject)	-class(r344,staff)
class(r345,Y)	+class(r345,person)	+class(r345,student)	-class(r345,course)	-class(r345,department)	-class(r345,faculty)	-class(r345,researchproject)	-class(r345,staff)
class(r346,Y)	+class(r346,person)	+class(r346,student)	-class(r346,course)	-class(r346,department)	-class(r346,faculty)	-class(r346,researchproject)	-class(r346,staff)
class(r347,Y)	+class(r347,person)	+class(r347,student)	-class(r347,course)	-class(r347,department)	-class(r347,faculty)	-class(r347,researchproject)	-class(r347,staff)
class(r348,Y)	+class(r348,person)	+class(r348,student)	-class(r348,course)	-class(r348,department)	-class(r348,faculty)	-class(r348,researchproject)	-class(r348,staff)
class(r349,Y)	+class(r349,person)	+class(r349,student)	-class(r349,course)	-class(r349,department)	-class(r349,faculty)	-class(r349,researchproject)	-class(r349,staff)
class(r351,Y)	+class(r351,course)	-class(r351,department)	-class(r351,faculty)	-class(r351,person)	-class(r351,researchproject)	-class(r351,staff)	-class(r351,student)
class(r352,Y)	+class(r352,course)	-class(r352,department)	-class(r352,faculty)	-class(r352,person)	-class(r352,researchproject)	-class(r352,staff)	-class(r352,student)
class(r350,Y)	+class(r350,faculty)	+class(r350,person)	-class(r350,course)	-class(r350,department)	-class(r350,researchproject)	-class(r350,staff)	-class(r350,student)
class(r353,Y)	+class(r353,person)	+class(r353,student)	-class(r353,course)	-class(r353,department)	-class(r353,faculty)	-class(r353,researchproject)	-class(r353,staff)
class(r354,Y)	+class(r354,person)	+class(r354,student)	-class(r354,course)	-class(r354,department)	-class(r354,faculty)	-class(r354,researchproject)	-class(r354,staff)
class(r355,Y)	+class(r355,person)	+class(r355,student)	-class(r355,course)	-class(r355,department)	-class(r355,faculty)	-class(r355,researchproject)	-class(r355,staff)
class(r356,Y)	+class(r356,person)	+class(r356,student)	-class(r356,course)	-class(r356,department)	-class(r356,faculty)	-class(r356,researchproject)	-class(r356,staff)
class(r357,Y)	+class(r357,faculty)	+class(r357,person)	-class(r357,course)	-class(r357,department)	-class(r357,researchproject)	-class(r357,staff)	-class(r357,student)
class(r358,Y)	+class(r358,department)	-class(r358,course)	-class(r358,faculty)	-class(r358,person)	-class(r358,researchproject)	-class(r358,staff)	-class(r358,student)
class(r359,Y)	+class(r359,person)	+class(r359,student)	-class(r359,course)	-class(r359,department)	-class(r359,faculty)	-class(r359,researchproject)	-class(r359,staff)
class(r360,Y)	+class(r360,person)	+class(r360,student)	-class(r360,course)	-class(r360,department)	-class(r360,faculty)	-class(r360,researchproject)	-class(r360,staff)
class(r361,Y)	+class(r361,person)	+class(r361,student)	-class(r361,course)	-class(r361,department)	-class(r361,faculty)	-class(r361,researchproject)	-class(r361,staff)
class(r362,Y)	+class(r362,person)	+class(r362,student)	-class(r362,course)	-class(r362,department)	-class(r362,faculty)	-class(r362,researchproject)	-class(r362,staff)
class(r363,Y)	+class(r363,person)	+class(r363,student)	-class(r363,course)	-class(r363,department)	-class(r363,faculty)	-class(r363,researchproject)	-class(r363,staff)
