# proved 1	predict(train00626,X1)  #v:[?].	352 msec
# proved 1617	predict(train05018,X1)  #v:[?].	2 msec
1	0.5404687842366149	predict(train05018,earn).
2	0.45953121576338507	predict(train05018,interest).
# proved 1618	predict(train01404,X1)  #v:[?].	3 msec
1	1.0	predict(train01404,earn).
# proved 1619	predict(train02904,X1)  #v:[?].	3 msec
1	1.0	predict(train02904,earn).
# proved 1620	predict(train02259,X1)  #v:[?].	3 msec
1	1.0	predict(train02259,earn).
# proved 1621	predict(train04996,X1)  #v:[?].	2 msec
1	1.0	predict(train04996,earn).
# proved 1622	predict(train03987,X1)  #v:[?].	12 msec
1	0.3453615994064954	predict(train03987,earn).
2	0.2956494651330398	predict(train03987,money-fx).
3	0.2695587660390891	predict(train03987,trade).
4	0.08943016942137579	predict(train03987,interest).
# proved 1623	predict(train01745,X1)  #v:[?].	3 msec
1	1.0	predict(train01745,earn).
# proved 1624	predict(train01423,X1)  #v:[?].	2 msec
1	1.0	predict(train01423,earn).
# proved 1625	predict(train02316,X1)  #v:[?].	8 msec
1	0.48244856896762733	predict(train02316,earn).
2	0.38245192133774986	predict(train02316,ship).
3	0.13509950969462273	predict(train02316,grain).
# proved 1626	predict(train04522,X1)  #v:[?].	1 msec
1	1.0	predict(train04522,earn).
# proved 1627	predict(train03587,X1)  #v:[?].	2 msec
1	1.0	predict(train03587,earn).
# proved 1628	predict(train01777,X1)  #v:[?].	3 msec
1	1.0	predict(train01777,earn).
# proved 1629	predict(train02479,X1)  #v:[?].	11 msec
1	0.5250946933742041	predict(train02479,earn).
2	0.47490530662579594	predict(train02479,acq).
# proved 1630	predict(train01509,X1)  #v:[?].	5 msec
1	0.5121937032847423	predict(train01509,earn).
2	0.48780629671525755	predict(train01509,acq).
# proved 1631	predict(train05166,X1)  #v:[?].	7 msec
1	0.519879184493486	predict(train05166,earn).
2	0.48012081550651403	predict(train05166,acq).
# proved 1632	predict(train00012,X1)  #v:[?].	2 msec
1	1.0	predict(train00012,earn).
# proved 1633	predict(train02817,X1)  #v:[?].	3 msec
1	0.4784680830990328	predict(train02817,earn).
2	0.44003141146133856	predict(train02817,acq).
3	0.0815005054396286	predict(train02817,crude).
# proved 1634	predict(train01850,X1)  #v:[?].	2 msec
1	1.0	predict(train01850,earn).
# proved 1635	predict(train04710,X1)  #v:[?].	4 msec
1	0.9141921606695993	predict(train04710,earn).
2	0.08580783933040069	predict(train04710,ship).
# proved 1636	predict(train00877,X1)  #v:[?].	3 msec
1	1.0	predict(train00877,earn).
# proved 1637	predict(train04364,X1)  #v:[?].	6 msec
1	0.5275124731941223	predict(train04364,earn).
2	0.47248752680587763	predict(train04364,acq).
# proved 1638	predict(train00839,X1)  #v:[?].	3 msec
1	1.0	predict(train00839,earn).
# proved 1639	predict(train05373,X1)  #v:[?].	9 msec
1	0.5147739232347136	predict(train05373,earn).
2	0.48522607676528634	predict(train05373,acq).
# proved 1640	predict(train01651,X1)  #v:[?].	9 msec
1	0.5239589490020774	predict(train01651,earn).
2	0.4760410509979226	predict(train01651,acq).
# proved 1641	predict(train03690,X1)  #v:[?].	2 msec
1	1.0	predict(train03690,earn).
# proved 1642	predict(train04365,X1)  #v:[?].	10 msec
1	0.42335916916108446	predict(train04365,earn).
2	0.337561845574274	predict(train04365,money-fx).
3	0.13982905775577925	predict(train04365,crude).
4	0.09924992750886236	predict(train04365,trade).
# proved 1643	predict(train03050,X1)  #v:[?].	2 msec
1	1.0	predict(train03050,earn).
# proved 1644	predict(train01937,X1)  #v:[?].	2 msec
1	1.0	predict(train01937,earn).
# proved 1645	predict(train03628,X1)  #v:[?].	2 msec
1	1.0	predict(train03628,earn).
# proved 1646	predict(train01616,X1)  #v:[?].	13 msec
1	0.5202475108925282	predict(train01616,earn).
2	0.43236570077233955	predict(train01616,trade).
3	0.04738678833513225	predict(train01616,ship).
# proved 1647	predict(train03259,X1)  #v:[?].	2 msec
1	1.0	predict(train03259,earn).
# proved 1648	predict(train04188,X1)  #v:[?].	7 msec
1	0.48124161532509907	predict(train04188,earn).
2	0.4162017511732827	predict(train04188,trade).
3	0.061136146695624706	predict(train04188,crude).
4	0.04142048680599357	predict(train04188,ship).
# proved 1649	predict(train00780,X1)  #v:[?].	2 msec
1	0.9028915604768296	predict(train00780,earn).
2	0.09710843952317048	predict(train00780,crude).
# proved 1650	predict(train03179,X1)  #v:[?].	3 msec
1	0.8818159262903126	predict(train03179,earn).
2	0.11818407370968745	predict(train03179,money-fx).
# proved 1651	predict(train01698,X1)  #v:[?].	6 msec
1	0.5330723515323579	predict(train01698,earn).
2	0.43438966425611936	predict(train01698,acq).
3	0.018610559203973927	predict(train01698,money-fx).
4	0.013927425007548785	predict(train01698,grain).
# proved 1652	predict(train00493,X1)  #v:[?].	2 msec
1	1.0	predict(train00493,earn).
# proved 1653	predict(train00580,X1)  #v:[?].	3 msec
1	1.0	predict(train00580,earn).
# proved 1654	predict(train03909,X1)  #v:[?].	7 msec
1	0.4368153999812349	predict(train03909,earn).
2	0.34080102436299886	predict(train03909,acq).
3	0.22238357565576614	predict(train03909,trade).
# proved 1655	predict(train00437,X1)  #v:[?].	4 msec
1	0.5188570469522893	predict(train00437,earn).
2	0.48114295304771076	predict(train00437,acq).
# proved 1656	predict(train04831,X1)  #v:[?].	3 msec
1	0.47369765801155234	predict(train04831,earn).
2	0.42473780120656873	predict(train04831,acq).
3	0.10156454078187907	predict(train04831,trade).
# proved 1657	predict(train01095,X1)  #v:[?].	3 msec
1	1.0	predict(train01095,earn).
# proved 1658	predict(train00548,X1)  #v:[?].	4 msec
1	0.5277615643756032	predict(train00548,earn).
2	0.47223843562439693	predict(train00548,acq).
# proved 1659	predict(train03488,X1)  #v:[?].	3 msec
1	1.0	predict(train03488,earn).
# proved 1660	predict(train02979,X1)  #v:[?].	3 msec
1	0.5086181454544564	predict(train02979,earn).
2	0.35797406986054703	predict(train02979,acq).
3	0.0805615518280933	predict(train02979,interest).
4	0.05284623285690326	predict(train02979,grain).
# proved 1661	predict(train05115,X1)  #v:[?].	9 msec
1	0.734543420488163	predict(train05115,earn).
2	0.2654565795118371	predict(train05115,money-fx).
# proved 1662	predict(train04022,X1)  #v:[?].	9 msec
1	0.3853614833111414	predict(train04022,earn).
2	0.33149804859451704	predict(train04022,money-fx).
3	0.2831404680943417	predict(train04022,trade).
# proved 1663	predict(train02907,X1)  #v:[?].	2 msec
1	1.0	predict(train02907,earn).
# proved 1664	predict(train00098,X1)  #v:[?].	4 msec
1	0.3517566466164008	predict(train00098,earn).
2	0.27906197179441294	predict(train00098,trade).
3	0.2092040098953772	predict(train00098,interest).
4	0.15997737169380905	predict(train00098,money-fx).
# proved 1665	predict(train04661,X1)  #v:[?].	3 msec
1	1.0	predict(train04661,earn).
# proved 1666	predict(train04954,X1)  #v:[?].	3 msec
1	0.5154562614223763	predict(train04954,earn).
2	0.4845437385776236	predict(train04954,acq).
# proved 1667	predict(train01235,X1)  #v:[?].	5 msec
1	0.3751528542271311	predict(train01235,earn).
2	0.3408556573516846	predict(train01235,acq).
3	0.28399148842118427	predict(train01235,ship).
# proved 1668	predict(train02637,X1)  #v:[?].	3 msec
1	1.0	predict(train02637,earn).
# proved 1669	predict(train05207,X1)  #v:[?].	4 msec
1	0.39581260826521597	predict(train05207,earn).
2	0.3106371842850083	predict(train05207,interest).
3	0.23576735714420974	predict(train05207,money-fx).
4	0.057782850305565917	predict(train05207,crude).
# proved 1670	predict(train01364,X1)  #v:[?].	2 msec
1	1.0	predict(train01364,earn).
# proved 1671	predict(train02351,X1)  #v:[?].	4 msec
1	0.43692053328264197	predict(train02351,earn).
2	0.3661689203335277	predict(train02351,acq).
3	0.19691054638383043	predict(train02351,crude).
# proved 1672	predict(train04873,X1)  #v:[?].	3 msec
1	1.0	predict(train04873,earn).
# proved 1673	predict(train05083,X1)  #v:[?].	2 msec
1	1.0	predict(train05083,earn).
# proved 1674	predict(train04062,X1)  #v:[?].	6 msec
1	0.5264388026124831	predict(train04062,earn).
2	0.4148328821604977	predict(train04062,ship).
3	0.04273852826892794	predict(train04062,grain).
4	0.015989786958091314	predict(train04062,crude).
# proved 1675	predict(train02782,X1)  #v:[?].	5 msec
1	0.5220716039048301	predict(train02782,earn).
2	0.47792839609516985	predict(train02782,acq).
# proved 1676	predict(train05418,X1)  #v:[?].	5 msec
1	0.5323758935215196	predict(train05418,earn).
2	0.4676241064784805	predict(train05418,acq).
# proved 1677	predict(train04597,X1)  #v:[?].	3 msec
1	1.0	predict(train04597,earn).
# proved 1678	predict(train00564,X1)  #v:[?].	3 msec
1	1.0	predict(train00564,earn).
# proved 1679	predict(train03720,X1)  #v:[?].	2 msec
1	1.0	predict(train03720,earn).
# proved 1680	predict(train04828,X1)  #v:[?].	4 msec
1	0.4426997594647084	predict(train04828,earn).
2	0.36333969598840876	predict(train04828,money-fx).
3	0.12268548460294149	predict(train04828,interest).
4	0.07127505994394125	predict(train04828,acq).
# proved 1681	predict(train02910,X1)  #v:[?].	12 msec
1	0.7592652106468148	predict(train02910,earn).
2	0.24073478935318524	predict(train02910,interest).
# proved 1682	predict(train00052,X1)  #v:[?].	2 msec
1	1.0	predict(train00052,earn).
# proved 1683	predict(train04900,X1)  #v:[?].	2 msec
1	1.0	predict(train04900,earn).
# proved 1684	predict(train00450,X1)  #v:[?].	2 msec
1	1.0	predict(train00450,earn).
# proved 1685	predict(train03304,X1)  #v:[?].	7 msec
1	0.6401094096102802	predict(train03304,earn).
2	0.1899224505581329	predict(train03304,crude).
3	0.16996813983158693	predict(train03304,ship).
# proved 1686	predict(train00945,X1)  #v:[?].	1 msec
1	1.0	predict(train00945,earn).
# proved 1687	predict(train02070,X1)  #v:[?].	4 msec
1	0.5278800214299672	predict(train02070,earn).
2	0.4721199785700329	predict(train02070,acq).
# proved 1688	predict(train02741,X1)  #v:[?].	4 msec
1	0.7695875601463247	predict(train02741,earn).
2	0.23041243985367532	predict(train02741,acq).
# proved 1689	predict(train02128,X1)  #v:[?].	4 msec
1	1.0	predict(train02128,earn).
# proved 1690	predict(train05215,X1)  #v:[?].	3 msec
1	0.5018148774505231	predict(train05215,earn).
2	0.39966190254669	predict(train05215,interest).
3	0.09852322000278703	predict(train05215,money-fx).
# proved 1691	predict(train01368,X1)  #v:[?].	2 msec
1	0.5504608250540742	predict(train01368,earn).
2	0.44953917494592566	predict(train01368,acq).
# proved 1692	predict(train02444,X1)  #v:[?].	4 msec
1	1.0	predict(train02444,earn).
# proved 1693	predict(train01184,X1)  #v:[?].	2 msec
1	0.5355430217731061	predict(train01184,earn).
2	0.3650587950978049	predict(train01184,acq).
3	0.05270437508115102	predict(train01184,ship).
4	0.025520516184183027	predict(train01184,crude).
5	0.0211732918637549	predict(train01184,grain).
# proved 1694	predict(train03590,X1)  #v:[?].	2 msec
1	0.6534151968000772	predict(train03590,acq).
2	0.23892573956614763	predict(train03590,interest).
3	0.10765906363377513	predict(train03590,grain).
# proved 1695	predict(train02575,X1)  #v:[?].	1 msec
1	1.0	predict(train02575,earn).
# proved 1696	predict(train03449,X1)  #v:[?].	10 msec
1	0.39358908779301044	predict(train03449,earn).
2	0.35794565573237563	predict(train03449,crude).
3	0.24846525647461382	predict(train03449,acq).
# proved 1697	predict(train03051,X1)  #v:[?].	2 msec
1	1.0	predict(train03051,earn).
# proved 1698	predict(train00552,X1)  #v:[?].	2 msec
1	1.0	predict(train00552,earn).
# proved 1699	predict(train01379,X1)  #v:[?].	4 msec
1	1.0	predict(train01379,earn).
# proved 1700	predict(train00946,X1)  #v:[?].	2 msec
1	1.0	predict(train00946,earn).
# proved 1701	predict(train01889,X1)  #v:[?].	3 msec
1	0.50225234971807	predict(train01889,earn).
2	0.36958951926489186	predict(train01889,acq).
3	0.12815813101703813	predict(train01889,crude).
# proved 1702	predict(train01563,X1)  #v:[?].	8 msec
1	0.4795405069803441	predict(train01563,earn).
2	0.386826767186633	predict(train01563,trade).
3	0.08551186179433626	predict(train01563,crude).
4	0.04812086403868665	predict(train01563,money-fx).
# proved 1703	predict(train01929,X1)  #v:[?].	2 msec
1	1.0	predict(train01929,earn).
# proved 1704	predict(train00248,X1)  #v:[?].	13 msec
1	0.49035722187225095	predict(train00248,earn).
2	0.40614177694057985	predict(train00248,trade).
3	0.10350100118716914	predict(train00248,crude).
# proved 1705	predict(train03543,X1)  #v:[?].	11 msec
1	0.4487012178575005	predict(train03543,earn).
2	0.39317487000585705	predict(train03543,trade).
3	0.15812391213664242	predict(train03543,crude).
# proved 1706	predict(train05107,X1)  #v:[?].	5 msec
1	0.7554019202792237	predict(train05107,earn).
2	0.2445980797207763	predict(train05107,crude).
# proved 1707	predict(train04951,X1)  #v:[?].	4 msec
1	0.5148215641421214	predict(train04951,earn).
2	0.4851784358578785	predict(train04951,acq).
# proved 1708	predict(train00293,X1)  #v:[?].	4 msec
1	0.5322100043722495	predict(train00293,earn).
2	0.4677899956277506	predict(train00293,acq).
# proved 1709	predict(train00277,X1)  #v:[?].	2 msec
1	1.0	predict(train00277,earn).
# proved 1710	predict(train04144,X1)  #v:[?].	3 msec
1	1.0	predict(train04144,earn).
# proved 1711	predict(train01944,X1)  #v:[?].	6 msec
1	0.5161581999766865	predict(train01944,earn).
2	0.48384180002331345	predict(train01944,acq).
# proved 1712	predict(train00926,X1)  #v:[?].	14 msec
1	0.47625691565850364	predict(train00926,earn).
2	0.42621765853301585	predict(train00926,crude).
3	0.0975254258084805	predict(train00926,trade).
# proved 1713	predict(train02482,X1)  #v:[?].	4 msec
1	0.5235363727338948	predict(train02482,earn).
2	0.4764636272661052	predict(train02482,acq).
# proved 1714	predict(train04141,X1)  #v:[?].	3 msec
1	1.0	predict(train04141,earn).
# proved 1715	predict(train03856,X1)  #v:[?].	2 msec
1	1.0	predict(train03856,earn).
# proved 1716	predict(train04627,X1)  #v:[?].	3 msec
1	0.7274141670733015	predict(train04627,earn).
2	0.27258583292669847	predict(train04627,acq).
# proved 1717	predict(train01529,X1)  #v:[?].	2 msec
1	0.5176625395169618	predict(train01529,crude).
2	0.4823374604830382	predict(train01529,earn).
# proved 1718	predict(train05070,X1)  #v:[?].	3 msec
1	1.0	predict(train05070,earn).
# proved 1719	predict(train02581,X1)  #v:[?].	2 msec
1	0.46879009536423744	predict(train02581,earn).
2	0.4176142985107375	predict(train02581,acq).
3	0.11359560612502506	predict(train02581,interest).
# proved 1720	predict(train02263,X1)  #v:[?].	12 msec
1	0.5190595433543861	predict(train02263,earn).
2	0.4809404566456139	predict(train02263,acq).
# proved 1721	predict(train02207,X1)  #v:[?].	4 msec
1	1.0	predict(train02207,earn).
# proved 1722	predict(train01653,X1)  #v:[?].	3 msec
1	0.5151391371161139	predict(train01653,earn).
2	0.48486086288388613	predict(train01653,acq).
# proved 1723	predict(train03414,X1)  #v:[?].	5 msec
1	0.5383145152931827	predict(train03414,earn).
2	0.46168548470681725	predict(train03414,acq).
# proved 1724	predict(train01525,X1)  #v:[?].	4 msec
1	0.6335213103371444	predict(train01525,earn).
2	0.35014712978064916	predict(train01525,acq).
3	0.016331559882206498	predict(train01525,ship).
# proved 1725	predict(train00961,X1)  #v:[?].	2 msec
1	1.0	predict(train00961,earn).
# proved 1726	predict(train04121,X1)  #v:[?].	3 msec
1	1.0	predict(train04121,earn).
# proved 1727	predict(train02156,X1)  #v:[?].	2 msec
1	1.0	predict(train02156,earn).
# proved 1728	predict(train03848,X1)  #v:[?].	2 msec
1	0.9760783773314385	predict(train03848,earn).
2	0.023921622668561463	predict(train03848,money-fx).
# proved 1729	predict(train03467,X1)  #v:[?].	4 msec
1	1.0	predict(train03467,earn).
# proved 1730	predict(train04380,X1)  #v:[?].	15 msec
1	0.5122170803468564	predict(train04380,earn).
2	0.48778291965314363	predict(train04380,acq).
# proved 1731	predict(train05156,X1)  #v:[?].	7 msec
1	0.5280456680453745	predict(train05156,earn).
2	0.47195433195462566	predict(train05156,acq).
# proved 1732	predict(train04761,X1)  #v:[?].	3 msec
1	0.5119365901485681	predict(train04761,earn).
2	0.488063409851432	predict(train04761,acq).
# proved 1733	predict(train01072,X1)  #v:[?].	3 msec
1	1.0	predict(train01072,earn).
# proved 1734	predict(train03078,X1)  #v:[?].	2 msec
1	1.0	predict(train03078,earn).
# proved 1735	predict(train04514,X1)  #v:[?].	13 msec
1	0.5167022937983297	predict(train04514,earn).
2	0.4832977062016703	predict(train04514,acq).
# proved 1736	predict(train05264,X1)  #v:[?].	2 msec
1	0.46261067400884226	predict(train05264,earn).
2	0.3741800857358066	predict(train05264,grain).
3	0.16320924025535105	predict(train05264,ship).
# proved 1737	predict(train00244,X1)  #v:[?].	1 msec
1	0.5337951167429369	predict(train00244,earn).
2	0.46620488325706305	predict(train00244,acq).
# proved 1738	predict(train02510,X1)  #v:[?].	5 msec
1	0.5170240594398668	predict(train02510,earn).
2	0.4829759405601331	predict(train02510,acq).
# proved 1739	predict(train01221,X1)  #v:[?].	6 msec
1	0.3679046942099799	predict(train01221,earn).
2	0.2897999543905402	predict(train01221,money-fx).
3	0.19298070475627208	predict(train01221,acq).
4	0.1493146466432078	predict(train01221,interest).
# proved 1740	predict(train01237,X1)  #v:[?].	4 msec
1	0.5302763621128814	predict(train01237,earn).
2	0.46972363788711863	predict(train01237,acq).
# proved 1741	predict(train04340,X1)  #v:[?].	11 msec
1	0.43595412226625935	predict(train04340,earn).
2	0.3555833090516113	predict(train04340,money-fx).
3	0.20846256868212937	predict(train04340,trade).
# proved 1742	predict(train04219,X1)  #v:[?].	9 msec
1	0.3781371894142922	predict(train04219,earn).
2	0.3356246216788335	predict(train04219,acq).
3	0.2862381889068742	predict(train04219,ship).
# proved 1743	predict(train05095,X1)  #v:[?].	16 msec
1	0.5178065928211998	predict(train05095,earn).
2	0.4821934071788002	predict(train05095,acq).
# proved 1744	predict(train04801,X1)  #v:[?].	2 msec
1	0.5479973800906343	predict(train04801,crude).
2	0.30185235661808335	predict(train04801,earn).
3	0.15015026329128225	predict(train04801,interest).
# proved 1745	predict(train04485,X1)  #v:[?].	4 msec
1	1.0	predict(train04485,earn).
# proved 1746	predict(train04146,X1)  #v:[?].	2 msec
1	1.0	predict(train04146,earn).
# proved 1747	predict(train02410,X1)  #v:[?].	3 msec
1	1.0	predict(train02410,earn).
# proved 1748	predict(train03421,X1)  #v:[?].	4 msec
1	0.45753903459441275	predict(train03421,earn).
2	0.37620203631697624	predict(train03421,acq).
3	0.10204268094996735	predict(train03421,crude).
4	0.06421624813864368	predict(train03421,trade).
# proved 1749	predict(train02828,X1)  #v:[?].	4 msec
1	0.5246092654791571	predict(train02828,earn).
2	0.4753907345208429	predict(train02828,acq).
# proved 1750	predict(train04117,X1)  #v:[?].	2 msec
1	1.0	predict(train04117,earn).
# proved 1751	predict(train04824,X1)  #v:[?].	1 msec
1	0.623361647791067	predict(train04824,acq).
2	0.2692274518914058	predict(train04824,money-fx).
3	0.10206444742909747	predict(train04824,crude).
4	0.005346452888429795	predict(train04824,interest).
# proved 1752	predict(train02567,X1)  #v:[?].	7 msec
1	0.5238509711523721	predict(train02567,earn).
2	0.47614902884762794	predict(train02567,acq).
# proved 1753	predict(train01425,X1)  #v:[?].	2 msec
1	1.0	predict(train01425,earn).
# proved 1754	predict(train01296,X1)  #v:[?].	7 msec
1	0.5195636149885549	predict(train01296,earn).
2	0.48043638501144514	predict(train01296,acq).
# proved 1755	predict(train04744,X1)  #v:[?].	4 msec
1	0.7270443203257515	predict(train04744,earn).
2	0.27295567967424855	predict(train04744,grain).
# proved 1756	predict(train02051,X1)  #v:[?].	4 msec
1	0.39493080295798605	predict(train02051,earn).
2	0.32684492652634206	predict(train02051,trade).
3	0.278224270515672	predict(train02051,crude).
# proved 1757	predict(train00981,X1)  #v:[?].	8 msec
1	0.5142908592517114	predict(train00981,earn).
2	0.48570914074828864	predict(train00981,acq).
# proved 1758	predict(train04718,X1)  #v:[?].	7 msec
1	0.42241931828209256	predict(train04718,earn).
2	0.3434217734286962	predict(train04718,trade).
3	0.2341589082892112	predict(train04718,money-fx).
# proved 1759	predict(train04569,X1)  #v:[?].	5 msec
1	0.5140997577799685	predict(train04569,earn).
2	0.4741135067544409	predict(train04569,acq).
3	0.01178673546559058	predict(train04569,ship).
# proved 1760	predict(train04045,X1)  #v:[?].	7 msec
1	0.6328579696876447	predict(train04045,earn).
2	0.36714203031235526	predict(train04045,acq).
# proved 1761	predict(train00574,X1)  #v:[?].	4 msec
1	0.5856928222758678	predict(train00574,earn).
2	0.24327003437216568	predict(train00574,acq).
3	0.17103714335196651	predict(train00574,ship).
# proved 1762	predict(train00935,X1)  #v:[?].	10 msec
1	0.32839920501912323	predict(train00935,earn).
2	0.2638812390695621	predict(train00935,ship).
3	0.2058015680638551	predict(train00935,trade).
4	0.2019179878474594	predict(train00935,crude).
# proved 1763	predict(train04957,X1)  #v:[?].	2 msec
1	0.5380225395758997	predict(train04957,earn).
2	0.45697659652956807	predict(train04957,interest).
3	0.005000863894532082	predict(train04957,money-fx).
# proved 1764	predict(train01930,X1)  #v:[?].	4 msec
1	1.0	predict(train01930,earn).
# proved 1765	predict(train04234,X1)  #v:[?].	23 msec
1	0.33237841643582516	predict(train04234,earn).
2	0.2928658257140455	predict(train04234,trade).
3	0.19437322121639078	predict(train04234,interest).
4	0.11498995197360086	predict(train04234,grain).
5	0.06539258466013778	predict(train04234,crude).
# proved 1766	predict(train00348,X1)  #v:[?].	2 msec
1	1.0	predict(train00348,earn).
# proved 1767	predict(train01603,X1)  #v:[?].	10 msec
1	1.0	predict(train01603,earn).
# proved 1768	predict(train05194,X1)  #v:[?].	3 msec
1	0.8565454242102608	predict(train05194,earn).
2	0.1434545757897392	predict(train05194,acq).
# proved 1769	predict(train03661,X1)  #v:[?].	13 msec
1	0.5206274913925675	predict(train03661,earn).
2	0.4793725086074324	predict(train03661,acq).
# proved 1770	predict(train03038,X1)  #v:[?].	3 msec
1	1.0	predict(train03038,earn).
# proved 1771	predict(train05042,X1)  #v:[?].	2 msec
1	1.0	predict(train05042,earn).
# proved 1772	predict(train03992,X1)  #v:[?].	4 msec
1	1.0	predict(train03992,earn).
# proved 1773	predict(train01145,X1)  #v:[?].	2 msec
1	0.4974238418540004	predict(train01145,earn).
2	0.3921082585823561	predict(train01145,ship).
3	0.11046789956364357	predict(train01145,crude).
# proved 1774	predict(train04745,X1)  #v:[?].	4 msec
1	0.5188918117674168	predict(train04745,earn).
2	0.48110818823258317	predict(train04745,acq).
# proved 1775	predict(train02560,X1)  #v:[?].	9 msec
1	0.5168213737894612	predict(train02560,earn).
2	0.48317862621053875	predict(train02560,acq).
# proved 1776	predict(train04042,X1)  #v:[?].	2 msec
1	0.4094942900809679	predict(train04042,earn).
2	0.316953489932824	predict(train04042,interest).
3	0.27355221998620805	predict(train04042,money-fx).
# proved 1777	predict(train05268,X1)  #v:[?].	7 msec
1	0.5162120989096294	predict(train05268,earn).
2	0.4837879010903707	predict(train05268,acq).
# proved 1778	predict(train04460,X1)  #v:[?].	2 msec
1	1.0	predict(train04460,earn).
# proved 1779	predict(train02865,X1)  #v:[?].	5 msec
1	0.5296104491207636	predict(train02865,earn).
2	0.4703895508792364	predict(train02865,acq).
# proved 1780	predict(train04467,X1)  #v:[?].	6 msec
1	0.5156940650208628	predict(train04467,earn).
2	0.4843059349791371	predict(train04467,acq).
# proved 1781	predict(train02535,X1)  #v:[?].	12 msec
1	0.41299785316205	predict(train02535,earn).
2	0.3486156804349632	predict(train02535,acq).
3	0.23838646640298675	predict(train02535,trade).
# proved 1782	predict(train01675,X1)  #v:[?].	5 msec
1	0.678896097678577	predict(train01675,earn).
2	0.32110390232142305	predict(train01675,acq).
# proved 1783	predict(train01444,X1)  #v:[?].	2 msec
1	1.0	predict(train01444,earn).
# proved 1784	predict(train04975,X1)  #v:[?].	3 msec
1	0.39818626323031686	predict(train04975,earn).
2	0.3328001984693705	predict(train04975,interest).
3	0.2690135383003125	predict(train04975,acq).
# proved 1785	predict(train03677,X1)  #v:[?].	3 msec
1	1.0	predict(train03677,earn).
# proved 1786	predict(train00663,X1)  #v:[?].	7 msec
1	0.5458421120167072	predict(train00663,earn).
2	0.45415788798329293	predict(train00663,acq).
# proved 1787	predict(train02415,X1)  #v:[?].	13 msec
1	0.34619547354325275	predict(train02415,earn).
2	0.2915908871473311	predict(train02415,interest).
3	0.2684600448943538	predict(train02415,money-fx).
4	0.09375359441506244	predict(train02415,crude).
# proved 1788	predict(train01101,X1)  #v:[?].	2 msec
1	1.0	predict(train01101,earn).
# proved 1789	predict(train03870,X1)  #v:[?].	3 msec
1	0.7511152460496663	predict(train03870,earn).
2	0.24888475395033383	predict(train03870,acq).
# proved 1790	predict(train03781,X1)  #v:[?].	3 msec
1	1.0	predict(train03781,earn).
# proved 1791	predict(train01071,X1)  #v:[?].	3 msec
1	1.0	predict(train01071,earn).
# proved 1792	predict(train02626,X1)  #v:[?].	3 msec
1	1.0	predict(train02626,earn).
# proved 1793	predict(train04458,X1)  #v:[?].	4 msec
1	0.5241014905877311	predict(train04458,earn).
2	0.4758985094122689	predict(train04458,acq).
# proved 1794	predict(train05068,X1)  #v:[?].	5 msec
1	0.36848729673738784	predict(train05068,earn).
2	0.31998986328657786	predict(train05068,acq).
3	0.3115228399760343	predict(train05068,crude).
# proved 1795	predict(train02512,X1)  #v:[?].	4 msec
1	0.8186692186624497	predict(train02512,earn).
2	0.1813307813375504	predict(train02512,interest).
# proved 1796	predict(train00309,X1)  #v:[?].	5 msec
1	1.0	predict(train00309,earn).
# proved 1797	predict(train00398,X1)  #v:[?].	3 msec
1	1.0	predict(train00398,earn).
# proved 1798	predict(train03623,X1)  #v:[?].	4 msec
1	0.7008062525310427	predict(train03623,earn).
2	0.2991937474689573	predict(train03623,acq).
# proved 1799	predict(train03698,X1)  #v:[?].	4 msec
1	1.0	predict(train03698,earn).
# proved 1800	predict(train05269,X1)  #v:[?].	4 msec
1	0.5042459081170337	predict(train05269,earn).
2	0.49575409188296626	predict(train05269,acq).
# proved 1801	predict(train00275,X1)  #v:[?].	2 msec
1	1.0	predict(train00275,earn).
# proved 1802	predict(train03399,X1)  #v:[?].	2 msec
1	1.0	predict(train03399,earn).
# proved 1803	predict(train00764,X1)  #v:[?].	1 msec
1	1.0	predict(train00764,earn).
# proved 1804	predict(train00331,X1)  #v:[?].	3 msec
1	1.0	predict(train00331,earn).
# proved 1805	predict(train04960,X1)  #v:[?].	2 msec
1	0.47926940253367345	predict(train04960,earn).
2	0.4081334046425306	predict(train04960,interest).
3	0.11259719282379595	predict(train04960,money-fx).
# proved 1806	predict(train00871,X1)  #v:[?].	17 msec
1	0.5235444970308188	predict(train00871,earn).
2	0.4764555029691812	predict(train00871,crude).
# proved 1807	predict(train05055,X1)  #v:[?].	4 msec
1	1.0	predict(train05055,earn).
# proved 1808	predict(train01037,X1)  #v:[?].	2 msec
1	1.0	predict(train01037,earn).
# proved 1809	predict(train03888,X1)  #v:[?].	6 msec
1	0.5185795881366916	predict(train03888,earn).
2	0.4814204118633084	predict(train03888,acq).
# proved 1810	predict(train01173,X1)  #v:[?].	4 msec
1	0.9865909527886046	predict(train01173,earn).
2	0.013409047211395414	predict(train01173,grain).
# proved 1811	predict(train04190,X1)  #v:[?].	5 msec
1	0.5190881889268684	predict(train04190,earn).
2	0.48091181107313163	predict(train04190,acq).
# proved 1812	predict(train03823,X1)  #v:[?].	3 msec
1	1.0	predict(train03823,earn).
# proved 1813	predict(train05122,X1)  #v:[?].	1 msec
1	0.8990837344983195	predict(train05122,earn).
2	0.07901813929624327	predict(train05122,money-fx).
3	0.021898126205437303	predict(train05122,interest).
# proved 1814	predict(train00701,X1)  #v:[?].	3 msec
1	1.0	predict(train00701,earn).
